RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
97279,93451,CA,San Luis Obispo,San Luis Obispo,San Miguel,11447,359373,0.00147976,0.013248786,0.112940688,0.088845201,0.007497063,2006-09,2006-Q3,380160,-0.054679609,2005-09
399515,03861,NH,Boston,Strafford,Lee,11448,325657,0.005784721,0.01198885,0.120694461,0.05826693,0.016575234,2018-03,2018-Q1,325657,0,2018-03
76495,43061,OH,Columbus,Delaware,Ostrander,11449,247727,-0.031707441,-0.022082654,0.064348013,0.081819206,0.027143005,2018-01,2018-Q1,260622,-0.049477788,2017-12
64380,15943,PA,Johnstown,Cambria,Nanty-Glo,11450,42008,-0.023569337,-0.07353006,-0.124578002,0.011121499,-0.064413615,2015-02,2015-Q1,50433,-0.167053318,
80501,50648,IA,,Buchanan,Jesup,11451,152986,0.000542828,-0.002854834,0.012756605,0.034614918,0.023460799,2017-12,2017-Q4,153424,-0.002854834,2017-08
99987,98831,WA,Wenatchee,Chelan,Manson,11452,349334,0.002257945,-0.00070656,-0.006560668,0.058092651,-0.002507618,2007-08,2007-Q3,368479,-0.051956828,2007-05
59055,03225,NH,Laconia,Belknap,Barnstead,11453,194327,0.001566825,0.016381182,0.099825116,0.038994492,0.008091912,2007-01,2007-Q1,210131,-0.075210226,2005-02
81568,54124,WI,Green Bay,Oconto,Gillett,11454,95695,-0.004349047,0.005189021,0.042781331,0.025403873,0.006498356,2018-02,2018-Q1,96113,-0.004349047,2018-01
68102,24330,VA,,Grayson,Fries,11455,62154,-0.000835932,-0.017032785,-0.02973821,0.018764419,0.001610204,2017-09,2017-Q3,66596,-0.066700703,2016-11
84797,61063,IL,Rockford,Winnebago,Pecatonica,11456,117382,0.005921622,0.040177938,0.152838342,0.053258412,-0.005721276,2007-10,2007-Q4,127011,-0.075812331,2006-08
58893,02764,MA,Providence,Bristol,Dighton,11457,317369,-0.001293348,0.009491547,0.089473233,0.056739395,0.012241453,2005-10,2005-Q4,326048,-0.02661878,2004-11
81122,52778,IA,Muscatine,Muscatine,Wilton,11458,171831,0.001632168,0.008587293,0.039950372,0.053615322,0.031997551,2018-03,2018-Q1,171831,0,2018-03
58204,01010,MA,Springfield,Hampden,Brimfield,11459,249237,0.005616413,0.028222413,0.041816973,0.028609625,0.002601052,2005-09,2005-Q3,269757,-0.076068462,2004-12
65061,17372,PA,Gettysburg,Adams,Latimore,11460,186953,-0.001735388,-0.005209331,-0.064416364,0.027713842,-0.012153043,2008-01,2008-Q1,212788,-0.121411922,2005-08
67067,21830,MD,Salisbury,Wicomico,Hebron,11461,171244,-0.002806797,-0.002126928,0.038509588,0.025379315,-0.014177129,2007-03,2007-Q1,214373,-0.201186717,2004-12
69935,28420,NC,Myrtle Beach,Brunswick,Ash,11462,128784,0.004665096,0.044121224,0.101951758,0.027195561,-0.01225598,2007-11,2007-Q4,151282,-0.148715644,2006-03
75038,38857,MS,Tupelo,Lee,Mooreville,11463,133792,0.002465103,0.007310591,0.019826055,0.000938417,0.002207566,2006-08,2006-Q3,140557,-0.04812994,2006-04
